Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,31.680000,33.340000,31.160000,33.320000,32.227020,8307800
2020-03-03,33.040001,33.580002,31.010000,31.150000,30.128201,10007400
2020-03-04,31.660000,31.855000,30.459999,31.709999,30.669832,8414500
2020-03-05,30.559999,30.730000,29.370001,29.770000,28.793470,8732500
2020-03-06,28.280001,29.160000,27.475000,27.980000,27.062185,8335700
2020-03-09,24.969999,24.969999,22.240000,22.760000,22.013414,9957600
2020-03-10,24.120001,25.530001,23.370001,25.410000,24.576488,11835300
2020-03-11,24.450001,24.830000,22.860001,23.340000,22.574390,12081800
2020-03-12,21.610001,23.370001,20.139999,21.250000,20.552946,9385400
2020-03-13,23.450001,23.850000,21.530001,23.660000,22.883892,9329400
2020-03-16,19.620001,20.496000,18.510000,18.510000,17.902824,8466400
2020-03-17,19.010000,19.660000,16.879999,19.110001,18.483145,9620000
2020-03-18,17.670000,18.090000,14.120000,15.320000,14.817466,8283300
2020-03-19,14.700000,18.180000,14.565000,17.370001,16.800222,8480200
2020-03-20,17.760000,18.480000,16.495001,17.520000,16.945301,18780100
2020-03-23,17.680000,17.680000,15.390000,15.870000,15.349423,7120900
2020-03-24,17.450001,17.809999,16.466999,17.799999,17.216114,7612400
2020-03-25,18.209999,18.700001,17.120001,17.709999,17.129066,11161500
2020-03-26,17.930000,20.955000,17.570000,20.719999,20.040331,10039100
2020-03-27,19.379999,20.740000,19.040001,19.959999,19.305262,7036600
2020-03-30,19.620001,19.850000,18.740000,19.650000,19.005430,6643100
2020-03-31,19.420000,19.965000,18.405001,18.809999,18.192984,6219700
2020-04-01,17.480000,17.790001,16.959999,17.299999,16.732517,5805600
2020-04-02,17.200001,18.344999,16.910000,17.420000,16.848581,7065500
2020-04-03,17.290001,17.790001,16.580000,16.940001,16.384327,4616900
2020-04-06,18.240000,19.129999,17.969999,18.790001,18.173641,7725100
2020-04-07,20.629999,21.110001,19.340000,19.530001,18.889368,7126900
2020-04-08,19.920000,20.660000,19.719999,20.530001,19.856565,5693400
